,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
881,AJ32539,Oregon,2829.31,No,Basic,Bachelor,2011-02-27,Employed,M,25860,Suburban,Married,72,12,46,0,1,Personal Auto,Personal L3,Offer2,Web,345.6,Four-Door Car,Medsize,A,2
882,GC17585,Arizona,13473.19,No,Basic,Bachelor,2011-02-16,Employed,M,25302,Suburban,Married,70,13,16,1,2,Personal Auto,Personal L1,Offer2,Branch,336.0,Four-Door Car,Medsize,A,2
883,FQ51281,Oregon,8170.62,No,Basic,Bachelor,2011-01-27,Employed,F,95241,Rural,Married,68,3,12,1,2,Personal Auto,Personal L3,Offer2,Branch,87.8,Four-Door Car,Large,A,1
884,SM39580,Arizona,3187.35,No,Extended,Doctor,2011-02-09,Unemployed,M,0,Suburban,Married,85,27,29,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,595.16,Two-Door Car,Large,A,2
885,CW80905,Nevada,9212.61,No,Basic,High School or Below,2011-02-18,Employed,M,70958,Rural,Married,115,1,57,0,7,Personal Auto,Personal L2,Offer1,Agent,115.4,Sports Car,Medsize,A,2
886,LL92275,California,5028.74,No,Basic,College,2011-01-22,Unemployed,F,0,Urban,Married,67,21,60,0,5,Personal Auto,Personal L3,Offer4,Web,216.2,Four-Door Car,Medsize,A,1
887,BC47264,California,7684.89,No,Extended,College,2011-02-05,Employed,F,62192,Rural,Single,98,30,28,0,5,Special Auto,Special L3,Offer3,Agent,243.29,Two-Door Car,Medsize,A,2
888,ED28429,Washington,4159.59,No,Basic,Bachelor,2011-02-01,Unemployed,M,0,Suburban,Single,62,1,64,0,3,Personal Auto,Personal L1,Offer1,Agent,446.4,Four-Door Car,Medsize,A,2
889,ZD72991,California,4899.98,No,Extended,Doctor,2011-01-25,Employed,M,76594,Suburban,Married,122,26,9,1,1,Personal Auto,Personal L3,Offer1,Agent,832.45,SUV,Medsize,A,1
890,EN38348,California,23207.27,No,Extended,High School or Below,2011-01-16,Employed,F,45039,Rural,Married,96,27,94,0,2,Personal Auto,Personal L2,Offer1,Agent,192.14,Four-Door Car,Large,A,1
891,BV98316,Arizona,6520.82,No,Extended,Bachelor,2011-02-04,Employed,F,93721,Suburban,Married,80,22,62,0,6,Personal Auto,Personal L1,Offer2,Agent,489.59,Four-Door Car,Large,A,2
892,LO99872,Oregon,5497.66,No,Basic,College,2011-02-22,Employed,M,28128,Suburban,Married,70,6,52,0,4,Personal Auto,Personal L3,Offer3,Agent,336.0,Two-Door Car,Medsize,A,2
893,ST91578,California,6466.3,No,Extended,Master,2011-01-19,Unemployed,M,0,Rural,Divorced,90,3,76,0,7,Personal Auto,Personal L3,Offer3,Call Center,144.78,Four-Door Car,Medsize,A,1
894,IS85460,California,5956.55,No,Basic,High School or Below,2011-01-10,Employed,F,48993,Suburban,Married,74,6,29,0,4,Personal Auto,Personal L1,Offer2,Call Center,810.46,Two-Door Car,Medsize,A,1
895,ON44465,California,5313.29,No,Extended,High School or Below,2011-01-24,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.39,Four-Door Car,Medsize,A,1
896,YB57848,Oregon,9928.99,No,Extended,Doctor,2011-01-02,Employed,F,75716,Rural,Single,247,2,32,0,1,Personal Auto,Personal L3,Offer1,Branch,562.09,Luxury Car,Medsize,A,1
897,FK28721,Oregon,7714.65,No,Basic,High School or Below,2011-01-08,Unemployed,M,0,Suburban,Single,74,33,24,0,2,Corporate Auto,Corporate L2,Offer3,Agent,532.8,Two-Door Car,Medsize,A,1
898,EI29901,Arizona,7295.43,No,Basic,Bachelor,2011-02-12,Employed,M,26849,Rural,Married,62,5,0,0,2,Personal Auto,Personal L3,Offer4,Agent,38.31,Four-Door Car,Medsize,A,2
899,XD86462,Oregon,6063.2,No,Extended,College,2011-02-04,Employed,M,20676,Suburban,Single,79,28,27,0,7,Personal Auto,Personal L3,Offer3,Agent,379.2,Four-Door Car,Medsize,A,2
900,XP92021,California,13295.6,No,Basic,High School or Below,2011-02-27,Employed,F,68009,Suburban,Divorced,110,1,2,0,2,Personal Auto,Personal L1,Offer1,Call Center,528.0,SUV,Medsize,A,2
901,YZ19736,Arizona,2580.85,Yes,Basic,College,2011-02-09,Employed,M,46900,Suburban,Married,66,13,59,0,1,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,A,2
902,AC40767,Washington,2497.81,No,Basic,Bachelor,2011-02-01,Employed,M,68041,Urban,Single,64,10,47,0,1,Personal Auto,Personal L2,Offer4,Branch,165.57,Two-Door Car,Medsize,A,2
903,AG85127,Oregon,8085.45,No,Basic,Bachelor,2011-01-14,Employed,M,61409,Urban,Married,68,30,80,0,2,Special Auto,Special L3,Offer3,Web,264.04,Four-Door Car,Medsize,A,1
904,CY18875,Oregon,8390.12,No,Extended,High School or Below,2011-01-05,Unemployed,F,0,Suburban,Single,78,22,3,0,2,Personal Auto,Personal L3,Offer1,Web,732.34,Four-Door Car,Small,A,1
905,GQ66762,California,4773.69,No,Basic,College,2011-02-08,Employed,M,33701,Urban,Single,63,16,67,0,5,Personal Auto,Personal L2,Offer3,Agent,171.33,Four-Door Car,Small,A,2
906,DP63956,California,6791.22,No,Basic,Bachelor,2011-01-10,Unemployed,F,0,Suburban,Single,101,19,11,1,8,Corporate Auto,Corporate L2,Offer1,Agent,727.2,SUV,Large,A,1
907,KR53335,Washington,7116.55,No,Basic,Bachelor,2011-02-06,Unemployed,F,0,Suburban,Single,66,5,46,0,2,Personal Auto,Personal L2,Offer3,Branch,316.8,Four-Door Car,Small,A,2
908,GG84614,California,3031.59,No,Extended,High School or Below,2011-01-08,Employed,F,27435,Suburban,Single,76,9,6,0,1,Personal Auto,Personal L3,Offer3,Branch,455.55,Two-Door Car,Medsize,A,1
909,MD15300,California,10110.77,No,Extended,College,2011-02-05,Employed,M,76276,Rural,Single,86,24,19,0,2,Corporate Auto,Corporate L3,Offer4,Web,93.31,Two-Door Car,Large,A,2
910,YF54705,Nevada,7356.01,No,Extended,College,2011-02-24,Employed,M,36812,Urban,Married,92,23,98,1,4,Personal Auto,Personal L3,Offer1,Branch,392.7,Two-Door Car,Medsize,A,2
911,FU99476,Washington,6770.31,No,Extended,High School or Below,2011-02-22,Employed,M,74422,Rural,Divorced,85,4,3,1,3,Personal Auto,Personal L1,Offer1,Call Center,95.34,Four-Door Car,Medsize,A,2
912,PE63707,Nevada,5452.17,No,Basic,Bachelor,2011-02-01,Employed,M,88567,Suburban,Married,67,9,89,0,9,Personal Auto,Personal L2,Offer1,Web,321.6,Four-Door Car,Medsize,A,2
913,OD18225,California,6631.67,No,Extended,College,2011-01-18,Employed,M,32918,Suburban,Married,84,33,69,0,3,Personal Auto,Personal L2,Offer3,Agent,403.2,Four-Door Car,Medsize,A,1
914,JT32550,Washington,7260.83,No,Basic,High School or Below,2011-01-30,Unemployed,M,0,Suburban,Single,72,15,25,0,2,Personal Auto,Personal L2,Offer4,Web,744.03,Four-Door Car,Small,A,1
915,EA27048,California,8646.5,Yes,Basic,High School or Below,2011-01-02,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Personal L3,Offer2,Branch,369.82,SUV,Large,A,1
916,UK66803,Oregon,4926.28,No,Basic,Bachelor,2011-01-09,Employed,F,49185,Rural,Married,61,11,92,0,8,Corporate Auto,Corporate L3,Offer3,Branch,126.95,Two-Door Car,Medsize,A,1
917,EF87528,Arizona,4636.55,Yes,Basic,College,2011-01-01,Retired,M,26802,Suburban,Married,66,7,43,1,5,Special Auto,Special L3,Offer2,Agent,316.8,Two-Door Car,Medsize,A,1
918,LA78882,California,6297.0,No,Basic,Bachelor,2011-01-13,Unemployed,M,0,Suburban,Single,189,15,51,1,1,Personal Auto,Personal L3,Offer1,Agent,1823.73,Luxury Car,Medsize,A,1
919,CJ78727,California,2236.09,No,Basic,Bachelor,2011-02-21,Unemployed,F,0,Suburban,Married,64,12,56,3,1,Corporate Auto,Corporate L1,Offer4,Call Center,307.2,Two-Door Car,Medsize,A,2
920,XW34862,Nevada,11981.98,Yes,Basic,Master,2011-01-20,Retired,F,21514,Urban,Married,62,0,59,0,2,Special Auto,Special L3,Offer1,Agent,257.25,Two-Door Car,Medsize,A,1
921,WW99844,California,4944.09,No,Basic,High School or Below,2011-02-07,Employed,F,53607,Rural,Married,61,4,18,0,9,Personal Auto,Personal L2,Offer3,Web,93.89,Four-Door Car,Medsize,A,2
922,CW27031,Washington,13450.96,No,Extended,High School or Below,2011-02-02,Unemployed,F,0,Suburban,Single,126,15,80,0,2,Corporate Auto,Corporate L2,Offer1,Agent,907.2,SUV,Medsize,A,2
923,GN93462,California,6496.2,No,Extended,Bachelor,2011-01-22,Employed,M,89285,Rural,Married,81,25,3,0,3,Personal Auto,Personal L3,Offer2,Call Center,109.03,Four-Door Car,Medsize,A,1
924,ID45268,California,6006.96,No,Extended,College,2011-01-08,Unemployed,F,0,Suburban,Married,80,5,10,0,8,Personal Auto,Personal L3,Offer2,Web,488.91,Four-Door Car,Medsize,A,1
925,PD79570,Oregon,4334.21,No,Premium,Bachelor,2011-02-21,Unemployed,F,0,Suburban,Single,116,15,87,0,1,Personal Auto,Personal L3,Offer2,Agent,1065.62,Four-Door Car,Small,A,2
926,RA14734,Arizona,8646.5,Yes,Basic,High School or Below,2011-01-02,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Personal L3,Offer2,Branch,369.82,SUV,Large,A,1
927,GX29162,Arizona,13023.93,No,Premium,High School or Below,2011-01-24,Employed,F,64985,Rural,Married,108,23,94,0,2,Personal Auto,Personal L3,Offer1,Web,16.43,Two-Door Car,Small,A,1
928,RO32883,Oregon,7804.6,No,Premium,Bachelor,2011-01-20,Unemployed,F,0,Rural,Married,117,18,84,4,8,Personal Auto,Personal L3,Offer1,Branch,91.06,Four-Door Car,Medsize,A,1
929,BB11622,Nevada,10552.17,No,Extended,Master,2011-01-02,Employed,M,47761,Rural,Married,131,2,54,0,6,Personal Auto,Personal L3,Offer1,Agent,232.71,Four-Door Car,Medsize,A,1
930,VO29645,Oregon,5169.5,Yes,Basic,High School or Below,2011-02-26,Medical Leave,M,12430,Suburban,Single,73,22,13,0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize,A,2
931,ZZ22858,California,15016.19,No,Basic,Bachelor,2011-01-01,Employed,F,70619,Rural,Married,187,2,84,0,3,Personal Auto,Personal L3,Offer3,Branch,293.95,Luxury Car,Medsize,A,1
932,NU42684,Nevada,3394.72,No,Extended,College,2011-01-28,Employed,F,83431,Suburban,Married,84,13,33,0,1,Personal Auto,Personal L3,Offer2,Web,403.2,Four-Door Car,Medsize,A,1
933,YT91759,California,6366.23,Yes,Extended,High School or Below,2011-01-07,Employed,M,44368,Suburban,Married,80,5,72,0,3,Personal Auto,Personal L2,Offer2,Call Center,384.0,Four-Door Car,Medsize,A,1
934,FG21377,California,19731.34,No,Basic,Bachelor,2011-01-07,Employed,F,33588,Suburban,Married,62,2,64,0,2,Corporate Auto,Corporate L3,Offer1,Agent,419.92,Four-Door Car,Medsize,A,1
935,CL10476,Arizona,7079.79,No,Basic,College,2011-01-30,Disabled,M,24245,Suburban,Married,63,0,22,0,2,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Two-Door Car,Large,A,1
936,PP62909,Oregon,12168.64,No,Basic,Master,2011-02-22,Unemployed,F,0,Rural,Single,109,28,96,0,2,Special Auto,Special L2,Offer1,Agent,30.99,Sports Car,Medsize,A,2
937,GA50461,Oregon,4726.87,Yes,Extended,Bachelor,2011-01-10,Medical Leave,F,13037,Suburban,Married,124,28,49,0,1,Personal Auto,Personal L1,Offer2,Agent,839.35,SUV,Small,A,1
938,ET89070,California,9448.83,No,Basic,High School or Below,2011-01-25,Employed,F,85221,Urban,Married,117,11,42,0,4,Personal Auto,Personal L2,Offer2,Branch,516.91,Sports Car,Medsize,A,1
939,HU76577,California,3883.4,No,Basic,Bachelor,2011-01-27,Unemployed,M,0,Suburban,Married,109,10,70,0,1,Personal Auto,Personal L1,Offer1,Agent,765.91,SUV,Medsize,A,1
940,KM58067,California,4526.95,No,Basic,High School or Below,2011-02-09,Employed,F,92921,Rural,Married,112,35,49,0,1,Personal Auto,Personal L2,Offer2,Call Center,109.29,SUV,Medsize,A,2
941,KH81863,Oregon,4605.04,Yes,Basic,College,2011-01-28,Medical Leave,F,22571,Suburban,Single,63,29,51,0,9,Corporate Auto,Corporate L3,Offer2,Web,302.4,Four-Door Car,Large,A,1
942,OY70124,Washington,12741.85,Yes,Basic,Bachelor,2011-01-07,Employed,F,73054,Urban,Married,106,34,36,1,2,Personal Auto,Personal L3,Offer1,Branch,419.37,SUV,Medsize,A,1
943,QY56887,California,14208.51,No,Extended,High School or Below,2011-02-08,Unemployed,F,0,Suburban,Single,131,12,26,0,2,Corporate Auto,Corporate L3,Offer3,Agent,943.2,SUV,Medsize,A,2
944,AH22694,California,5850.45,No,Basic,Doctor,2011-01-24,Employed,M,24317,Suburban,Married,73,2,35,1,3,Corporate Auto,Corporate L1,Offer1,Call Center,350.4,Four-Door Car,Medsize,A,1
945,BM71358,Arizona,10787.12,No,Extended,High School or Below,2011-01-03,Employed,M,44695,Rural,Divorced,91,26,88,0,2,Personal Auto,Personal L3,Offer1,Call Center,147.95,Four-Door Car,Medsize,A,1
946,SN58128,Oregon,10396.53,No,Extended,College,2011-02-18,Employed,F,34948,Urban,Married,130,20,15,0,7,Personal Auto,Personal L1,Offer4,Branch,443.79,SUV,Small,A,2
947,GH90738,Oregon,3580.08,No,Extended,Bachelor,2011-01-29,Employed,F,71176,Urban,Married,91,3,62,2,1,Personal Auto,Personal L2,Offer2,Web,278.07,Two-Door Car,Medsize,A,1
948,NM88660,Nevada,3585.88,No,Extended,Master,2011-01-10,Employed,M,49080,Rural,Single,91,14,68,0,1,Corporate Auto,Corporate L2,Offer1,Agent,25.3,Four-Door Car,Small,A,1
949,VQ57815,California,8828.38,No,Basic,Doctor,2011-01-01,Employed,M,61246,Rural,Married,110,24,21,0,3,Personal Auto,Personal L2,Offer2,Branch,159.24,Sports Car,Medsize,A,1
950,ID89933,Oregon,7255.58,No,Extended,Doctor,2011-01-09,Employed,F,39786,Urban,Married,91,2,91,1,9,Personal Auto,Personal L2,Offer1,Web,365.84,Four-Door Car,Medsize,A,1
951,JM47657,Oregon,2491.26,Yes,Basic,High School or Below,2011-02-12,Medical Leave,F,25965,Suburban,Divorced,65,23,27,0,1,Personal Auto,Personal L3,Offer1,Agent,329.21,Four-Door Car,Medsize,A,2
952,DU66880,Arizona,13583.62,No,Premium,High School or Below,2011-01-05,Employed,M,58544,Suburban,Married,114,19,48,0,2,Personal Auto,Personal L2,Offer1,Agent,769.79,Four-Door Car,Medsize,A,1
953,IS95117,Arizona,5874.82,No,Basic,College,2011-01-25,Employed,F,35301,Rural,Married,74,23,68,0,7,Personal Auto,Personal L3,Offer1,Agent,128.64,Four-Door Car,Medsize,A,1
954,KB58189,Oregon,2550.66,No,Basic,College,2011-02-10,Employed,F,69230,Urban,Married,63,31,13,0,1,Special Auto,Special L2,Offer3,Agent,283.24,Four-Door Car,Medsize,A,2
955,XB35510,California,8704.28,No,Basic,Bachelor,2011-01-05,Employed,M,38072,Rural,Married,113,10,36,1,3,Personal Auto,Personal L3,Offer1,Branch,151.06,SUV,Medsize,A,1
956,VH45094,Arizona,7286.79,No,Basic,High School or Below,2011-02-13,Employed,M,65870,Urban,Married,61,21,40,1,2,Personal Auto,Personal L2,Offer2,Branch,202.85,Four-Door Car,Large,A,2
957,QK12068,Oregon,5293.72,No,Basic,High School or Below,2011-01-17,Unemployed,F,0,Suburban,Single,74,14,43,0,4,Personal Auto,Personal L3,Offer4,Agent,712.13,Four-Door Car,Small,A,1
958,UC75204,California,12851.42,No,Basic,High School or Below,2011-02-11,Unemployed,F,0,Suburban,Single,186,11,31,0,8,Personal Auto,Personal L3,Offer1,Branch,1339.2,Luxury SUV,Small,A,2
959,QR72180,California,3241.31,No,Extended,Doctor,2011-01-20,Employed,F,66889,Urban,Married,80,6,16,0,1,Personal Auto,Personal L1,Offer2,Call Center,294.32,Four-Door Car,Small,A,1
960,HS66275,California,3358.66,No,Extended,High School or Below,2011-02-18,Employed,F,77309,Suburban,Married,83,22,6,0,1,Personal Auto,Personal L2,Offer4,Agent,596.32,Two-Door Car,Small,A,2
961,US90854,Oregon,11177.75,No,Basic,Bachelor,2011-01-16,Employed,M,20742,Urban,Single,100,17,52,0,2,Personal Auto,Personal L2,Offer2,Web,455.85,SUV,Medsize,A,1
962,YG85980,Nevada,6793.77,No,Extended,High School or Below,2011-01-29,Employed,F,22250,Suburban,Married,86,10,36,0,3,Personal Auto,Personal L3,Offer3,Web,720.6,Two-Door Car,Medsize,A,1
963,XO90806,California,8406.76,No,Basic,College,2011-02-24,Employed,F,67128,Urban,Married,105,33,90,0,4,Personal Auto,Personal L3,Offer1,Agent,339.02,SUV,Small,A,2
964,MX48796,California,4873.67,No,Basic,Bachelor,2011-02-14,Unemployed,F,0,Suburban,Single,68,3,5,0,5,Corporate Auto,Corporate L3,Offer1,Agent,356.08,Four-Door Car,Medsize,A,2
965,TZ47750,Nevada,8509.85,Yes,Basic,Master,2011-01-31,Disabled,M,26057,Suburban,Divorced,74,3,63,0,2,Personal Auto,Personal L1,Offer1,Call Center,523.89,Four-Door Car,Small,A,1
966,VB57504,California,2560.69,No,Basic,High School or Below,2011-01-05,Employed,M,30027,Suburban,Married,65,13,10,0,1,Personal Auto,Personal L3,Offer2,Branch,312.0,Four-Door Car,Medsize,A,1
967,CI51999,Arizona,8161.17,No,Basic,College,2011-01-05,Medical Leave,M,12266,Suburban,Married,114,25,36,1,3,Personal Auto,Personal L1,Offer1,Branch,732.05,SUV,Medsize,A,1
968,QX22025,California,12148.94,No,Basic,High School or Below,2011-01-05,Employed,F,37025,Urban,Married,101,15,36,0,2,Corporate Auto,Corporate L1,Offer3,Branch,427.24,SUV,Medsize,A,1
969,WC42895,California,22110.4,No,Basic,Bachelor,2011-02-13,Employed,F,65724,Rural,Single,70,15,66,0,2,Personal Auto,Personal L3,Offer2,Agent,14.52,Four-Door Car,Medsize,A,2
970,IA63417,Arizona,4001.52,No,Premium,High School or Below,2011-02-02,Retired,F,19782,Suburban,Divorced,108,13,66,0,1,Personal Auto,Personal L3,Offer3,Web,773.47,Two-Door Car,Medsize,A,2
971,HF15113,Oregon,4883.55,No,Basic,Bachelor,2011-01-02,Disabled,F,19096,Suburban,Divorced,64,17,5,0,3,Personal Auto,Personal L3,Offer1,Web,374.9,Two-Door Car,Medsize,A,1
972,MG46007,California,6358.25,No,Extended,High School or Below,2011-01-24,Unemployed,M,0,Rural,Married,94,19,98,2,4,Personal Auto,Personal L2,Offer1,Agent,17.94,Four-Door Car,Medsize,A,1
973,VI12822,California,2632.55,No,Basic,High School or Below,2011-02-26,Employed,F,99841,Suburban,Married,65,14,30,0,1,Personal Auto,Personal L2,Offer2,Branch,312.0,Four-Door Car,Small,A,2
974,LO40410,California,2395.57,No,Basic,Doctor,2011-01-27,Disabled,F,21986,Suburban,Divorced,63,1,9,0,1,Personal Auto,Personal L3,Offer2,Branch,333.7,Two-Door Car,Medsize,A,1
975,JO90877,Washington,2870.0,No,Basic,Bachelor,2011-02-18,Employed,F,70974,Suburban,Married,71,15,0,0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Large,A,2
976,II32272,California,25390.55,No,Extended,High School or Below,2011-02-17,Disabled,F,19359,Suburban,Married,129,0,62,0,2,Personal Auto,Personal L3,Offer4,Call Center,928.8,Sports Car,Medsize,A,2
977,EM53324,Oregon,7343.53,No,Basic,College,2011-02-15,Unemployed,F,0,Suburban,Single,72,26,12,3,2,Personal Auto,Personal L3,Offer1,Branch,345.6,Four-Door Car,Medsize,A,2
978,CF15252,Arizona,4344.52,No,Basic,Bachelor,2011-02-25,Employed,F,48054,Suburban,Married,109,15,64,0,1,Personal Auto,Personal L1,Offer1,Call Center,523.2,SUV,Medsize,A,2
979,BA52133,California,5344.99,No,Basic,Master,2011-02-11,Employed,M,22908,Suburban,Married,68,30,19,0,7,Personal Auto,Personal L2,Offer3,Call Center,387.77,Four-Door Car,Medsize,A,2
980,WP51328,Oregon,4744.97,No,Basic,Doctor,2011-02-19,Employed,M,20698,Urban,Single,68,15,72,0,5,Personal Auto,Personal L3,Offer4,Branch,248.42,Two-Door Car,Medsize,A,2
981,EM39400,Nevada,2840.3,No,Basic,Bachelor,2011-02-27,Employed,M,79181,Urban,Divorced,72,1,24,0,1,Personal Auto,Personal L3,Offer2,Branch,241.28,Four-Door Car,Medsize,A,2
982,TK61994,Oregon,6104.5,No,Extended,College,2011-02-28,Disabled,F,18690,Rural,Married,80,10,63,0,5,Personal Auto,Personal L2,Offer1,Agent,18.19,Four-Door Car,Medsize,A,2
983,AG58599,Oregon,2805.1,No,Basic,High School or Below,2011-01-29,Employed,F,26004,Suburban,Married,70,12,3,0,1,Personal Auto,Personal L3,Offer3,Web,336.0,Four-Door Car,Medsize,A,1
984,NC58480,Nevada,4838.21,No,Basic,Bachelor,2011-01-23,Employed,F,73769,Urban,Married,61,24,95,2,3,Personal Auto,Personal L3,Offer4,Web,239.54,Four-Door Car,Medsize,A,1
985,EK87864,Arizona,2821.95,No,Basic,College,2011-01-06,Employed,F,38977,Rural,Married,70,27,22,0,1,Special Auto,Special L2,Offer1,Agent,139.49,Four-Door Car,Medsize,A,1
986,QY46560,Arizona,2152.08,No,Basic,Bachelor,2011-02-26,Unemployed,M,0,Suburban,Single,65,8,50,0,1,Personal Auto,Personal L2,Offer2,Agent,460.38,Two-Door Car,Medsize,A,2
987,ZB69355,Oregon,4082.7,No,Basic,Bachelor,2011-02-13,Medical Leave,F,23206,Suburban,Married,107,31,60,0,1,Personal Auto,Personal L3,Offer1,Call Center,513.6,Sports Car,Large,A,2
988,EJ96266,California,2965.72,No,Basic,College,2011-02-11,Employed,F,26472,Suburban,Married,74,22,31,0,1,Personal Auto,Personal L1,Offer2,Branch,355.2,Four-Door Car,Medsize,A,2
989,OW84864,California,6081.05,No,Extended,College,2011-01-31,Unemployed,F,0,Suburban,Single,82,26,33,0,3,Personal Auto,Personal L3,Offer2,Web,393.6,Four-Door Car,Medsize,A,1
990,DA69469,Oregon,26843.12,No,Extended,College,2011-01-16,Employed,F,36068,Rural,Married,97,0,10,0,2,Personal Auto,Personal L3,Offer2,Branch,113.37,Two-Door Car,Medsize,A,1
991,MU57098,Oregon,5678.05,Yes,Extended,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Personal Auto,Personal L1,Offer2,Agent,364.8,Four-Door Car,Small,A,1
992,VW65351,Washington,3355.53,No,Extended,College,2011-01-26,Employed,F,46644,Rural,Married,84,34,19,0,1,Personal Auto,Personal L2,Offer3,Agent,150.69,Four-Door Car,Medsize,A,1
993,MQ68407,Oregon,4376.36,Yes,Premium,Bachelor,2011-02-28,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L3,Offer2,Agent,60.04,Four-Door Car,Medsize,A,2
994,ID15010,Oregon,10972.07,Yes,Extended,Doctor,2011-01-18,Employed,M,24164,Suburban,Divorced,137,2,40,0,5,Personal Auto,Personal L3,Offer2,Agent,657.6,Sports Car,Medsize,A,1
995,BV16459,Oregon,6677.42,No,Extended,College,2011-02-22,Unemployed,M,0,Urban,Married,97,10,77,1,9,Personal Auto,Personal L3,Offer3,Call Center,251.64,Two-Door Car,Medsize,A,2
996,NL39999,Washington,2624.9,No,Basic,High School or Below,2011-01-27,Medical Leave,M,18129,Suburban,Divorced,71,23,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,340.8,Two-Door Car,Large,A,1
997,OG62048,California,9052.95,No,Basic,Master,2011-02-08,Medical Leave,F,10211,Suburban,Divorced,119,7,16,0,7,Personal Auto,Personal L2,Offer3,Branch,571.2,SUV,Medsize,A,2
998,IL28481,Oregon,6112.76,No,Extended,Bachelor,2011-02-19,Employed,M,63243,Urban,Married,77,21,73,0,3,Personal Auto,Personal L3,Offer4,Call Center,364.24,Four-Door Car,Large,A,2
999,OB21477,Oregon,10777.57,No,Extended,College,2011-01-10,Employed,M,53437,Suburban,Married,91,2,87,0,2,Personal Auto,Personal L1,Offer3,Branch,436.8,Two-Door Car,Medsize,A,1
1000,VR14881,Oregon,8489.84,No,Extended,Bachelor,2011-01-27,Unemployed,M,0,Suburban,Single,130,3,46,0,3,Personal Auto,Personal L3,Offer2,Agent,624.0,Sports Car,Medsize,A,1
1001,OA92714,California,5055.9,No,Basic,Bachelor,2011-01-10,Employed,F,88989,Urban,Married,63,19,28,1,3,Personal Auto,Personal L3,Offer3,Call Center,232.75,Four-Door Car,Small,A,1
1002,UA50747,Washington,25997.75,No,Basic,High School or Below,2011-02-20,Employed,F,62262,Urban,Married,72,17,2,0,2,Corporate Auto,Corporate L3,Offer4,Branch,193.51,Four-Door Car,Small,A,2
1003,YE46109,Arizona,10839.51,No,Extended,College,2011-01-09,Medical Leave,F,26367,Rural,Married,139,7,26,0,3,Personal Auto,Personal L2,Offer1,Branch,105.99,SUV,Small,A,1
1004,TD90906,Oregon,6044.02,No,Basic,High School or Below,2011-01-20,Employed,F,93715,Suburban,Married,74,12,88,0,7,Personal Auto,Personal L3,Offer4,Web,532.8,Four-Door Car,Small,A,1
1005,KG40352,Oregon,5447.2,No,Basic,College,2011-02-18,Employed,F,68815,Rural,Married,68,29,37,0,3,Personal Auto,Personal L2,Offer4,Branch,114.74,Four-Door Car,Small,A,2
1006,GQ26671,California,2241.11,No,Basic,High School or Below,2011-02-06,Unemployed,F,0,Suburban,Single,63,5,7,0,1,Personal Auto,Personal L2,Offer2,Call Center,453.6,Two-Door Car,Medsize,A,2
1007,BB65725,California,8061.2,No,Basic,College,2011-02-11,Employed,M,57293,Urban,Married,102,15,87,0,7,Corporate Auto,Corporate L3,Offer1,Agent,348.0,Sports Car,Medsize,A,2
1008,UE10014,Arizona,12866.89,No,Basic,High School or Below,2011-02-08,Unemployed,M,0,Suburban,Single,189,24,93,0,6,Personal Auto,Personal L3,Offer1,Agent,1415.58,Luxury Car,Small,A,2
1009,BK61065,California,5479.56,Yes,Basic,Master,2011-01-13,Employed,M,56005,Suburban,Married,68,31,30,1,3,Personal Auto,Personal L2,Offer1,Branch,326.4,Four-Door Car,Small,A,1
1010,IP81759,Nevada,9366.82,No,Extended,High School or Below,2011-01-06,Employed,M,60613,Suburban,Single,240,3,52,0,1,Personal Auto,Personal L1,Offer4,Call Center,1152.0,Luxury Car,Small,A,1
1011,TY26512,California,3436.13,Yes,Extended,Doctor,2011-02-18,Employed,M,30817,Rural,Divorced,88,25,43,0,1,Personal Auto,Personal L3,Offer2,Branch,91.83,Four-Door Car,Medsize,A,2
1012,UC69263,California,8336.08,No,Basic,Bachelor,2011-02-16,Unemployed,M,0,Suburban,Single,67,10,50,2,2,Personal Auto,Personal L3,Offer3,Agent,445.27,Two-Door Car,Medsize,A,2
1013,NE22677,California,13080.79,No,Extended,College,2011-02-14,Unemployed,M,0,Suburban,Divorced,124,12,58,0,2,Special Auto,Special L2,Offer1,Web,595.2,SUV,Small,A,2
1014,BN80677,Oregon,12734.21,No,Extended,Bachelor,2011-01-07,Employed,M,25023,Suburban,Single,82,31,38,0,2,Corporate Auto,Corporate L3,Offer1,Branch,397.14,Two-Door Car,Medsize,A,1
